Case_ID,Group,Case_Type,Cycle_Time,Auth_Time,Evidence_Count,Session_Count,Backlog_Rate,Registration_Date,Verdict_Date,Court,Status
EXP-001,Experimental,Cyber Fraud,19,4,2,2,5.2,2023-07-01,2023-07-20,Tehran Appeal Court,Closed
EXP-002,Experimental,Cyber Fraud,20,5,3,2,5.2,2023-07-02,2023-07-22,Tehran Appeal Court,Closed
EXP-003,Experimental,Unauthorized Access,18,3,2,2,5.2,2023-07-03,2023-07-21,Tehran Appeal Court,Closed
EXP-004,Experimental,Cyber Fraud,19,4,3,2,5.2,2023-07-04,2023-07-23,Tehran Appeal Court,Closed
EXP-005,Experimental,Digital Forgery,19,4,2,2,5.2,2023-07-05,2023-07-24,Tehran Appeal Court,Closed
EXP-006,Experimental,Cyber Fraud,15,3,2,2,5.2,2023-07-06,2023-07-21,Tehran Appeal Court,Closed
EXP-007,Experimental,Unauthorized Access,18,5,3,2,5.2,2023-07-07,2023-07-25,Tehran Appeal Court,Closed
EXP-008,Experimental,Unauthorized Access,18,4,2,2,5.2,2023-07-08,2023-07-26,Tehran Appeal Court,Closed
EXP-009,Experimental,Unauthorized Access,14,3,2,2,5.2,2023-07-09,2023-07-23,Tehran Appeal Court,Closed
EXP-010,Experimental,Unauthorized Access,14,4,3,2,5.2,2023-07-10,2023-07-24,Tehran Appeal Court,Closed
EXP-011,Experimental,Cyber Fraud,17,4,2,2,5.2,2023-07-11,2023-07-28,Tehran Appeal Court,Closed
EXP-012,Experimental,Digital Forgery,17,5,3,2,5.2,2023-07-12,2023-07-29,Tehran Appeal Court,Closed
EXP-013,Experimental,Data Breach,17,4,2,2,5.2,2023-07-13,2023-07-30,Tehran Appeal Court,Closed
EXP-014,Experimental,Cyber Fraud,17,3,2,2,5.2,2023-07-14,2023-07-31,Tehran Appeal Court,Closed
EXP-015,Experimental,Unauthorized Access,17,4,3,2,5.2,2023-07-15,2023-08-01,Tehran Appeal Court,Closed
