Case_ID,Group,Case_Type,Cycle_Time,Auth_Time,Evidence_Count,Session_Count,Backlog_Rate,Registration_Date,Verdict_Date,Court,Status
EXP-001,Experimental,Cyber_Fraud,19,4,2,2,5.2,7/1/2023,7/20/2023,Tehran Appeal Court,Closed
EXP-002,Experimental,Cyber_Fraud,20,5,3,2,5.2,7/2/2023,7/22/2023,Tehran Appeal Court,Closed
EXP-003,Experimental,Unauthorized_Access,18,3,2,2,5.2,7/3/2023,7/21/2023,Tehran Appeal Court,Closed
EXP-004,Experimental,Cyber_Fraud,19,4,3,2,5.2,7/4/2023,7/23/2023,Tehran Appeal Court,Closed
EXP-005,Experimental,Digital_Forgery,19,4,2,2,5.2,7/5/2023,7/24/2023,Tehran Appeal Court,Closed
EXP-006,Experimental,Cyber_Fraud,15,3,2,2,5.2,7/6/2023,7/21/2023,Tehran Appeal Court,Closed
EXP-007,Experimental,Unauthorized_Access,18,5,3,2,5.2,7/7/2023,7/25/2023,Tehran Appeal Court,Closed
EXP-008,Experimental,Unauthorized_Access,18,4,2,2,5.2,7/8/2023,7/26/2023,Tehran Appeal Court,Closed
EXP-009,Experimental,Unauthorized_Access,14,3,2,2,5.2,7/9/2023,7/23/2023,Tehran Appeal Court,Closed
EXP-010,Experimental,Unauthorized_Access,14,4,3,2,5.2,7/10/2023,7/24/2023,Tehran Appeal Court,Closed
EXP-011,Experimental,Cyber_Fraud,17,4,2,2,5.2,7/11/2023,7/28/2023,Tehran Appeal Court,Closed
EXP-012,Experimental,Digital_Forgery,17,5,3,2,5.2,7/12/2023,7/29/2023,Tehran Appeal Court,Closed
EXP-013,Experimental,Data_Breach,17,4,2,2,5.2,7/13/2023,7/30/2023,Tehran Appeal Court,Closed
EXP-014,Experimental,Cyber_Fraud,17,3,2,2,5.2,7/14/2023,7/31/2023,Tehran Appeal Court,Closed
EXP-015,Experimental,Unauthorized_Access,17,4,3,2,5.2,7/15/2023,8/1/2023,Tehran Appeal Court,Closed
EXP-016,Experimental,Cyber_Fraud,17,4,2,2,5.2,7/16/2023,8/2/2023,Tehran Appeal Court,Closed
EXP-017,Experimental,Digital_Forgery,17,5,2,3,5.2,7/17/2023,8/3/2023,Tehran Appeal Court,Closed
EXP-018,Experimental,Cyber_Fraud,17,4,3,3,5.2,7/18/2023,8/4/2023,Tehran Appeal Court,Closed
EXP-019,Experimental,Unauthorized_Access,17,3,2,2,5.2,7/19/2023,8/5/2023,Tehran Appeal Court,Closed
EXP-020,Experimental,Data_Breach,17,4,2,2,5.2,7/20/2023,8/6/2023,Tehran Appeal Court,Closed
EXP-021,Experimental,Cyber_Fraud,17,5,3,2,5.2,7/21/2023,8/7/2023,Tehran Appeal Court,Closed
EXP-022,Experimental,Cyber_Fraud,17,4,2,2,5.2,7/22/2023,8/8/2023,Tehran Appeal Court,Closed
EXP-023,Experimental,Unauthorized_Access,17,3,2,2,5.2,7/23/2023,8/9/2023,Tehran Appeal Court,Closed
EXP-024,Experimental,Digital_Forgery,17,4,3,2,5.2,7/24/2023,8/10/2023,Tehran Appeal Court,Closed
EXP-025,Experimental,Cyber_Fraud,17,4,2,2,5.2,7/25/2023,8/11/2023,Tehran Appeal Court,Closed
EXP-026,Experimental,Unauthorized_Access,17,5,2,2,5.2,7/26/2023,8/12/2023,Tehran Appeal Court,Closed
